Base Year,Year,Indicator,Frequency,Revision,Industry,Subindustry,Institutional Sector,Quarter,Current Price,Constant Price,Unit,Sector Name,Period,Price Difference
2011-12,2013-14,Gross Value Added,Annual,Additional Revision,Manufacturing,"Textiles, Apparel and Leather Products",,N/A,246424.2519,216410.9227,₹ Crore,Manufacturing,2013-14-Annual,30013.3292
2011-12,2013-14,Gross Value Added,Annual,Additional Revision,Manufacturing,Metal Products,,N/A,286997.6316,277321.6686,₹ Crore,Manufacturing,2013-14-Annual,9675.963
2011-12,2013-14,Gross Value Added,Annual,Additional Revision,Manufacturing,Machinery and Equipment,,N/A,343383.1933,324994.2019,₹ Crore,Manufacturing,2013-14-Annual,18388.9914
2011-12,2013-14,Gross Value Added,Annual,Additional Revision,Manufacturing,Other Manufactured Goods,,N/A,660973.4387,588421.8942,₹ Crore,Manufacturing,2013-14-Annual,72551.5445
2011-12,2013-14,Gross Value Added,Annual,Additional Revision,Manufacturing,N/A,,N/A,1713451.601,1560709.116,₹ Crore,Manufacturing,2013-14-Annual,152742.485
2011-12,2013-14,Gross Value Added,Annual,Additional Revision,"Electricity, Gas, Water Supply & Other Utility Services",N/A,,N/A,260154.6073,199601,₹ Crore,"Electricity, Gas, Water Supply & Other Utility Services",2013-14-Annual,60553.6073
2011-12,2013-14,Gross Value Added,Annual,Additional Revision,Construction,N/A,,N/A,921469.9795,800770.8801,₹ Crore,Construction,2013-14-Annual,120699.0994
2011-12,2013-14,Gross Value Added,Annual,Additional Revision,"Trade, Repair, Hotels and Restaurants",Trade & Repair Services,,N/A,1078420.556,941941,₹ Crore,"Trade, Repair, Hotels and Restaurants",2013-14-Annual,136479.556
2011-12,2013-14,Gross Value Added,Annual,Additional Revision,"Trade, Repair, Hotels and Restaurants",Hotels & Restaurants,,N/A,106139.7134,92565,₹ Crore,"Trade, Repair, Hotels and Restaurants",2013-14-Annual,13574.7134
2011-12,2013-14,Gross Value Added,Annual,Additional Revision,"Trade, Repair, Hotels and Restaurants",N/A,,N/A,1184560.269,1034506,₹ Crore,"Trade, Repair, Hotels and Restaurants",2013-14-Annual,150054.269
2011-12,2013-14,Gross Value Added,Annual,Additional Revision,"Transport, Storage, Communication & Services Related to Broadcasting",Railways,,N/A,78723.98342,73685,₹ Crore,"Transport, Storage, Communication & Services Related to Broadcasting",2013-14-Annual,5038.98342
2011-12,2013-14,Gross Value Added,Annual,Additional Revision,"Transport, Storage, Communication & Services Related to Broadcasting",Road Transport,,N/A,338305.6928,300563,₹ Crore,"Transport, Storage, Communication & Services Related to Broadcasting",2013-14-Annual,37742.6928
2011-12,2013-14,Gross Value Added,Annual,Additional Revision,"Transport, Storage, Communication & Services Related to Broadcasting",Water Transport,,N/A,6475.646157,7345,₹ Crore,"Transport, Storage, Communication & Services Related to Broadcasting",2013-14-Annual,-869.353843
2011-12,2013-14,Gross Value Added,Annual,Additional Revision,"Transport, Storage, Communication & Services Related to Broadcasting",Air Transport,,N/A,6852.545708,4550,₹ Crore,"Transport, Storage, Communication & Services Related to Broadcasting",2013-14-Annual,2302.545708
2011-12,2013-14,Gross Value Added,Annual,Additional Revision,"Transport, Storage, Communication & Services Related to Broadcasting",Services Incidental to Transport,,N/A,75718.55882,70172,₹ Crore,"Transport, Storage, Communication & Services Related to Broadcasting",2013-14-Annual,5546.55882
2011-12,2013-14,Gross Value Added,Annual,Additional Revision,"Transport, Storage, Communication & Services Related to Broadcasting",Storage,,N/A,6025.783483,5210,₹ Crore,"Transport, Storage, Communication & Services Related to Broadcasting",2013-14-Annual,815.783483
2011-12,2013-14,Gross Value Added,Annual,Additional Revision,"Transport, Storage, Communication & Services Related to Broadcasting",Communication & Services Related to Broadcasting,,N/A,177804.129,156031,₹ Crore,"Transport, Storage, Communication & Services Related to Broadcasting",2013-14-Annual,21773.129
2011-12,2013-14,Gross Value Added,Annual,Additional Revision,"Transport, Storage, Communication & Services Related to Broadcasting",N/A,,N/A,689906.3393,617556,₹ Crore,"Transport, Storage, Communication & Services Related to Broadcasting",2013-14-Annual,72350.3393
2011-12,2013-14,Gross Value Added,Annual,Additional Revision,Financial Services,N/A,,N/A,599341.4614,577914,₹ Crore,Financial Services,2013-14-Annual,21427.4614
2011-12,2013-14,Gross Value Added,Annual,Additional Revision,"Real Estate, Ownership of Dwelling & Professional Services",N/A,,N/A,1470166.76,1289492.914,₹ Crore,"Real Estate, Ownership of Dwelling & Professional Services",2013-14-Annual,180673.846
2011-12,2013-14,Gross Value Added,Annual,Additional Revision,Public Administration and Defence,N/A,,N/A,601912.3947,510045.6882,₹ Crore,Public Administration and Defence,2013-14-Annual,91866.7065
2011-12,2013-14,Gross Value Added,Annual,Additional Revision,Other Services,N/A,,N/A,700022.9913,600748.156,₹ Crore,Other Services,2013-14-Annual,99274.8353
2011-12,2013-14,Gross Value Added,Annual,Additional Revision,Total Gross Value Added,N/A,,N/A,10363152.61,9063648.668,₹ Crore,Total Gross Value Added,2013-14-Annual,1299503.942
2011-12,2012-13,Gross Value Added,Annual,Second Revised Estimates,,N/A,Public Non-Financial Corporations,N/A,675468,,₹ Crore,Public Non-Financial Corporations,2012-13-Annual,675468
2011-12,2012-13,Gross Value Added,Annual,Second Revised Estimates,,N/A,Private Non-Financial Corporations,N/A,2914197,,₹ Crore,Private Non-Financial Corporations,2012-13-Annual,2914197
2011-12,2012-13,Gross Value Added,Annual,Second Revised Estimates,,N/A,Public Financial Corporations,N/A,273513,,₹ Crore,Public Financial Corporations,2012-13-Annual,273513
2011-12,2012-13,Gross Value Added,Annual,Second Revised Estimates,,N/A,Private Financial Corporations,N/A,263306,,₹ Crore,Private Financial Corporations,2012-13-Annual,263306
2011-12,2012-13,Gross Value Added,Annual,Second Revised Estimates,,N/A,General Government,N/A,884992,,₹ Crore,General Government,2012-13-Annual,884992
2011-12,2012-13,Gross Value Added,Annual,Second Revised Estimates,,N/A,Households Including NPISH,N/A,4198547,,₹ Crore,Households Including NPISH,2012-13-Annual,4198547
2011-12,2012-13,Gross Value Added,Annual,Second Revised Estimates,,N/A,Total Gross Value Added,N/A,9210023,,₹ Crore,Total Gross Value Added,2012-13-Annual,9210023
2011-12,2012-13,Gross Value Added,Annual,Second Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",Crops,,N/A,1090587,983873,₹ Crore,"Agriculture, Livestock, Forestry and Fishing",2012-13-Annual,106714
2011-12,2012-13,Gross Value Added,Annual,Second Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",Livestock,,N/A,375254,344333,₹ Crore,"Agriculture, Livestock, Forestry and Fishing",2012-13-Annual,30921
2011-12,2012-13,Gross Value Added,Annual,Second Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",Forestry and Logging,,N/A,135048,124830,₹ Crore,"Agriculture, Livestock, Forestry and Fishing",2012-13-Annual,10218
2011-12,2012-13,Gross Value Added,Annual,Second Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",Fishing and Aquaculture,,N/A,79908,71362,₹ Crore,"Agriculture, Livestock, Forestry and Fishing",2012-13-Annual,8546
2011-12,2012-13,Gross Value Added,Annual,Second Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",N/A,,N/A,1680797,1524398,₹ Crore,"Agriculture, Livestock, Forestry and Fishing",2012-13-Annual,156399
2011-12,2012-13,Gross Value Added,Annual,Second Revised Estimates,Mining and Quarrying,N/A,,N/A,285780,259683,₹ Crore,Mining and Quarrying,2012-13-Annual,26097
2011-12,2012-13,Gross Value Added,Annual,Second Revised Estimates,Manufacturing,"Food Products, Beverages and Tobacco",,N/A,168296,156991,₹ Crore,Manufacturing,2012-13-Annual,11305
2011-12,2012-13,Gross Value Added,Annual,Second Revised Estimates,Manufacturing,"Textiles, Apparel and Leather Products",,N/A,187981,183459,₹ Crore,Manufacturing,2012-13-Annual,4522
2011-12,2012-13,Gross Value Added,Annual,Second Revised Estimates,Manufacturing,Metal Products,,N/A,249131,233498,₹ Crore,Manufacturing,2012-13-Annual,15633
2011-12,2012-13,Gross Value Added,Annual,Second Revised Estimates,Manufacturing,Machinery and Equipment,,N/A,356375,344670,₹ Crore,Manufacturing,2012-13-Annual,11705
2011-12,2012-13,Gross Value Added,Annual,Second Revised Estimates,Manufacturing,Other Manufactured Goods,,N/A,611848,576651,₹ Crore,Manufacturing,2012-13-Annual,35197
2011-12,2012-13,Gross Value Added,Annual,Second Revised Estimates,Manufacturing,N/A,,N/A,1573632,1495268,₹ Crore,Manufacturing,2012-13-Annual,78364
2011-12,2012-13,Gross Value Added,Annual,Second Revised Estimates,"Electricity, Gas, Water Supply & Other Utility Services",N/A,,N/A,215538,191876,₹ Crore,"Electricity, Gas, Water Supply & Other Utility Services",2012-13-Annual,23662
2011-12,2012-13,Gross Value Added,Annual,Second Revised Estimates,Construction,N/A,,N/A,847573,782256,₹ Crore,Construction,2012-13-Annual,65317
2011-12,2012-13,Gross Value Added,Annual,Second Revised Estimates,"Trade, Repair, Hotels and Restaurants",Trade & Repair Services,,N/A,954749,887566,₹ Crore,"Trade, Repair, Hotels and Restaurants",2012-13-Annual,67183
2011-12,2012-13,Gross Value Added,Annual,Second Revised Estimates,"Trade, Repair, Hotels and Restaurants",Hotels & Restaurants,,N/A,99850,92832,₹ Crore,"Trade, Repair, Hotels and Restaurants",2012-13-Annual,7018
2011-12,2012-13,Gross Value Added,Annual,Second Revised Estimates,"Trade, Repair, Hotels and Restaurants",N/A,,N/A,1054598,980398,₹ Crore,"Trade, Repair, Hotels and Restaurants",2012-13-Annual,74200
2011-12,2012-13,Gross Value Added,Annual,Second Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Railways,,N/A,72297,68958,₹ Crore,"Transport, Storage, Communication & Services Related to Broadcasting",2012-13-Annual,3339
2011-12,2012-13,Gross Value Added,Annual,Second Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Road Transport,,N/A,300658,282454,₹ Crore,"Transport, Storage, Communication & Services Related to Broadcasting",2012-13-Annual,18204
2011-12,2012-13,Gross Value Added,Annual,Second Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Water Transport,,N/A,7199,7053,₹ Crore,"Transport, Storage, Communication & Services Related to Broadcasting",2012-13-Annual,146
2011-12,2012-13,Gross Value Added,Annual,Second Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Air Transport,,N/A,8147,4085,₹ Crore,"Transport, Storage, Communication & Services Related to Broadcasting",2012-13-Annual,4062
2011-12,2012-13,Gross Value Added,Annual,Second Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Services Incidental to Transport,,N/A,72054,66416,₹ Crore,"Transport, Storage, Communication & Services Related to Broadcasting",2012-13-Annual,5638
2011-12,2012-13,Gross Value Added,Annual,Second Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Storage,,N/A,6165,5709,₹ Crore,"Transport, Storage, Communication & Services Related to Broadcasting",2012-13-Annual,456
2011-12,2012-13,Gross Value Added,Annual,Second Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Communication & Services Related to Broadcasting,,N/A,142969,134534,₹ Crore,"Transport, Storage, Communication & Services Related to Broadcasting",2012-13-Annual,8435
2011-12,2012-13,Gross Value Added,Annual,Second Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",N/A,,N/A,609490,569210,₹ Crore,"Transport, Storage, Communication & Services Related to Broadcasting",2012-13-Annual,40280
2011-12,2012-13,Gross Value Added,Annual,Second Revised Estimates,Financial Services,N/A,,N/A,536819,526156,₹ Crore,Financial Services,2012-13-Annual,10663
2011-12,2012-13,Gross Value Added,Annual,Second Revised Estimates,"Real Estate, Ownership of Dwelling & Professional Services",N/A,,N/A,1243348,1149436,₹ Crore,"Real Estate, Ownership of Dwelling & Professional Services",2012-13-Annual,93912
2011-12,2012-13,Gross Value Added,Annual,Second Revised Estimates,Public Administration and Defence,N/A,,N/A,544637,499136,₹ Crore,Public Administration and Defence,2012-13-Annual,45501
2011-12,2012-13,Gross Value Added,Annual,Second Revised Estimates,Other Services,N/A,,N/A,617811,568734,₹ Crore,Other Services,2012-13-Annual,49077
2011-12,2012-13,Gross Value Added,Annual,Second Revised Estimates,Total Gross Value Added,N/A,,N/A,9210023,8546552,₹ Crore,Total Gross Value Added,2012-13-Annual,663471
2011-12,2012-13,Gross Value Added,Annual,Third Revised Estimates,,N/A,Public Non-Financial Corporations,N/A,674778.1872,,₹ Crore,Public Non-Financial Corporations,2012-13-Annual,674778.1872
2011-12,2012-13,Gross Value Added,Annual,Third Revised Estimates,,N/A,Private Non-Financial Corporations,N/A,2914182.132,,₹ Crore,Private Non-Financial Corporations,2012-13-Annual,2914182.132
2011-12,2012-13,Gross Value Added,Annual,Third Revised Estimates,,N/A,Public Financial Corporations,N/A,273513,,₹ Crore,Public Financial Corporations,2012-13-Annual,273513
2011-12,2012-13,Gross Value Added,Annual,Third Revised Estimates,,N/A,Private Financial Corporations,N/A,263305.7596,,₹ Crore,Private Financial Corporations,2012-13-Annual,263305.7596
2011-12,2012-13,Gross Value Added,Annual,Third Revised Estimates,,N/A,General Government,N/A,885024.342,,₹ Crore,General Government,2012-13-Annual,885024.342
2011-12,2012-13,Gross Value Added,Annual,Third Revised Estimates,,N/A,Households Including NPISH,N/A,4194511.806,,₹ Crore,Households Including NPISH,2012-13-Annual,4194511.806
2011-12,2012-13,Gross Value Added,Annual,Third Revised Estimates,,N/A,Total Gross Value Added,N/A,9205315.227,,₹ Crore,Total Gross Value Added,2012-13-Annual,9205315.227
2011-12,2012-13,Gross Value Added,Annual,Third Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",Crops,,N/A,1090587.886,983873.0719,₹ Crore,"Agriculture, Livestock, Forestry and Fishing",2012-13-Annual,106714.8141
2011-12,2012-13,Gross Value Added,Annual,Third Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",Livestock,,N/A,375253.9738,344333.0828,₹ Crore,"Agriculture, Livestock, Forestry and Fishing",2012-13-Annual,30920.891
2011-12,2012-13,Gross Value Added,Annual,Third Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",Forestry and Logging,,N/A,135048.0969,124829.7369,₹ Crore,"Agriculture, Livestock, Forestry and Fishing",2012-13-Annual,10218.36
2011-12,2012-13,Gross Value Added,Annual,Third Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",Fishing and Aquaculture,,N/A,79908.12974,71362.44646,₹ Crore,"Agriculture, Livestock, Forestry and Fishing",2012-13-Annual,8545.68328
2011-12,2012-13,Gross Value Added,Annual,Third Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",N/A,,N/A,1680798.086,1524398.338,₹ Crore,"Agriculture, Livestock, Forestry and Fishing",2012-13-Annual,156399.748
2011-12,2012-13,Gross Value Added,Annual,Third Revised Estimates,Mining and Quarrying,N/A,,N/A,285775.9357,259479.199,₹ Crore,Mining and Quarrying,2012-13-Annual,26296.7367
2011-12,2012-13,Gross Value Added,Annual,Third Revised Estimates,Manufacturing,"Food Products, Beverages and Tobacco",,N/A,168226.5077,156864.3508,₹ Crore,Manufacturing,2012-13-Annual,11362.1569
2011-12,2012-13,Gross Value Added,Annual,Third Revised Estimates,Manufacturing,"Textiles, Apparel and Leather Products",,N/A,187981.1397,183389.0261,₹ Crore,Manufacturing,2012-13-Annual,4592.1136
2011-12,2012-13,Gross Value Added,Annual,Third Revised Estimates,Manufacturing,Metal Products,,N/A,248912.6701,233203.924,₹ Crore,Manufacturing,2012-13-Annual,15708.7461
2011-12,2012-13,Gross Value Added,Annual,Third Revised Estimates,Manufacturing,Machinery and Equipment,,N/A,356229.8338,344404.9846,₹ Crore,Manufacturing,2012-13-Annual,11824.8492
2011-12,2012-13,Gross Value Added,Annual,Third Revised Estimates,Manufacturing,Other Manufactured Goods,,N/A,611479.5653,574900.3756,₹ Crore,Manufacturing,2012-13-Annual,36579.1897
2011-12,2012-13,Gross Value Added,Annual,Third Revised Estimates,Manufacturing,N/A,,N/A,1572829.717,1492762.661,₹ Crore,Manufacturing,2012-13-Annual,80067.056
2011-12,2012-13,Gross Value Added,Annual,Third Revised Estimates,"Electricity, Gas, Water Supply & Other Utility Services",N/A,,N/A,215164.3272,191413,₹ Crore,"Electricity, Gas, Water Supply & Other Utility Services",2012-13-Annual,23751.3272
2011-12,2012-13,Gross Value Added,Annual,Third Revised Estimates,Construction,N/A,,N/A,847492.2763,781947.1866,₹ Crore,Construction,2012-13-Annual,65545.0897
2011-12,2012-13,Gross Value Added,Annual,Third Revised Estimates,"Trade, Repair, Hotels and Restaurants",Trade & Repair Services,,N/A,954754.7268,887364.8537,₹ Crore,"Trade, Repair, Hotels and Restaurants",2012-13-Annual,67389.8731
2011-12,2012-13,Gross Value Added,Annual,Third Revised Estimates,"Trade, Repair, Hotels and Restaurants",Hotels & Restaurants,,N/A,99849.53291,92811.666,₹ Crore,"Trade, Repair, Hotels and Restaurants",2012-13-Annual,7037.86691
2011-12,2012-13,Gross Value Added,Annual,Third Revised Estimates,"Trade, Repair, Hotels and Restaurants",N/A,,N/A,1054604.26,980176.5197,₹ Crore,"Trade, Repair, Hotels and Restaurants",2012-13-Annual,74427.7403
2011-12,2012-13,Gross Value Added,Annual,Third Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Railways,,N/A,72295.50752,68959,₹ Crore,"Transport, Storage, Communication & Services Related to Broadcasting",2012-13-Annual,3336.50752
2011-12,2012-13,Gross Value Added,Annual,Third Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Road Transport,,N/A,300667.7306,282425.1682,₹ Crore,"Transport, Storage, Communication & Services Related to Broadcasting",2012-13-Annual,18242.5624
2011-12,2012-13,Gross Value Added,Annual,Third Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Water Transport,,N/A,7199.31535,7052.080385,₹ Crore,"Transport, Storage, Communication & Services Related to Broadcasting",2012-13-Annual,147.234965
2011-12,2012-13,Gross Value Added,Annual,Third Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Air Transport,,N/A,8127.694015,4183.234482,₹ Crore,"Transport, Storage, Communication & Services Related to Broadcasting",2012-13-Annual,3944.459533
2011-12,2012-13,Gross Value Added,Annual,Third Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Services Incidental to Transport,,N/A,72054.25679,66481.07898,₹ Crore,"Transport, Storage, Communication & Services Related to Broadcasting",2012-13-Annual,5573.17781
2011-12,2012-13,Gross Value Added,Annual,Third Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Storage,,N/A,6165.165813,5708.337142,₹ Crore,"Transport, Storage, Communication & Services Related to Broadcasting",2012-13-Annual,456.828671
2011-12,2012-13,Gross Value Added,Annual,Third Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Communication & Services Related to Broadcasting,,N/A,142969.2645,134504.5565,₹ Crore,"Transport, Storage, Communication & Services Related to Broadcasting",2012-13-Annual,8464.708
2011-12,2012-13,Gross Value Added,Annual,Third Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",N/A,,N/A,609478.9347,569313.4558,₹ Crore,"Transport, Storage, Communication & Services Related to Broadcasting",2012-13-Annual,40165.4789
2011-12,2012-13,Gross Value Added,Annual,Third Revised Estimates,Financial Services,N/A,,N/A,536818.7596,529758.6156,₹ Crore,Financial Services,2012-13-Annual,7060.144
2011-12,2012-13,Gross Value Added,Annual,Third Revised Estimates,"Real Estate, Ownership of Dwelling & Professional Services",N/A,,N/A,1239204.3,1149364.776,₹ Crore,"Real Estate, Ownership of Dwelling & Professional Services",2012-13-Annual,89839.524
2011-12,2012-13,Gross Value Added,Annual,Third Revised Estimates,Public Administration and Defence,N/A,,N/A,545894.0185,501434.2627,₹ Crore,Public Administration and Defence,2012-13-Annual,44459.7558
2011-12,2012-13,Gross Value Added,Annual,Third Revised Estimates,Other Services,N/A,,N/A,617254.613,568181.4163,₹ Crore,Other Services,2012-13-Annual,49073.1967
2011-12,2012-13,Gross Value Added,Annual,Third Revised Estimates,Total Gross Value Added,N/A,,N/A,9205315.227,8548229.431,₹ Crore,Total Gross Value Added,2012-13-Annual,657085.796
2011-12,2012-13,Gross Value Added,Annual,Additional Revision,,N/A,Public Non-Financial Corporations,N/A,674719.0341,,₹ Crore,Public Non-Financial Corporations,2012-13-Annual,674719.0341
2011-12,2012-13,Gross Value Added,Annual,Additional Revision,,N/A,Private Non-Financial Corporations,N/A,2914257.725,,₹ Crore,Private Non-Financial Corporations,2012-13-Annual,2914257.725
2011-12,2012-13,Gross Value Added,Annual,Additional Revision,,N/A,Public Financial Corporations,N/A,273513,,₹ Crore,Public Financial Corporations,2012-13-Annual,273513
2011-12,2012-13,Gross Value Added,Annual,Additional Revision,,N/A,Private Financial Corporations,N/A,263305.7596,,₹ Crore,Private Financial Corporations,2012-13-Annual,263305.7596
2011-12,2012-13,Gross Value Added,Annual,Additional Revision,,N/A,General Government,N/A,885482.4252,,₹ Crore,General Government,2012-13-Annual,885482.4252
2011-12,2012-13,Gross Value Added,Annual,Additional Revision,,N/A,Households Including NPISH,N/A,4191414.16,,₹ Crore,Households Including NPISH,2012-13-Annual,4191414.16
2011-12,2012-13,Gross Value Added,Annual,Additional Revision,,N/A,Total Gross Value Added,N/A,9202692.104,,₹ Crore,Total Gross Value Added,2012-13-Annual,9202692.104
2011-12,2012-13,Gross Value Added,Annual,Additional Revision,"Agriculture, Livestock, Forestry and Fishing",Crops,,N/A,1088813.678,983808.584,₹ Crore,"Agriculture, Livestock, Forestry and Fishing",2012-13-Annual,105005.094
2011-12,2012-13,Gross Value Added,Annual,Additional Revision,"Agriculture, Livestock, Forestry and Fishing",Livestock,,N/A,368822.8837,344374.6874,₹ Crore,"Agriculture, Livestock, Forestry and Fishing",2012-13-Annual,24448.1963
2011-12,2012-13,Gross Value Added,Annual,Additional Revision,"Agriculture, Livestock, Forestry and Fishing",Forestry and Logging,,N/A,137558.4464,124742.5185,₹ Crore,"Agriculture, Livestock, Forestry and Fishing",2012-13-Annual,12815.9279
2011-12,2012-13,Gross Value Added,Annual,Additional Revision,"Agriculture, Livestock, Forestry and Fishing",Fishing and Aquaculture,,N/A,79911.49454,71362.40508,₹ Crore,"Agriculture, Livestock, Forestry and Fishing",2012-13-Annual,8549.08946
2011-12,2012-13,Gross Value Added,Annual,Additional Revision,"Agriculture, Livestock, Forestry and Fishing",N/A,,N/A,1675106.503,1524288.195,₹ Crore,"Agriculture, Livestock, Forestry and Fishing",2012-13-Annual,150818.308
2011-12,2012-13,Gross Value Added,Annual,Additional Revision,Mining and Quarrying,N/A,,N/A,285842.0081,262608.7984,₹ Crore,Mining and Quarrying,2012-13-Annual,23233.2097
2011-12,2012-13,Gross Value Added,Annual,Additional Revision,Manufacturing,"Food Products, Beverages and Tobacco",,N/A,168227.1306,154539.6619,₹ Crore,Manufacturing,2012-13-Annual,13687.4687
2011-12,2012-13,Gross Value Added,Annual,Additional Revision,Manufacturing,"Textiles, Apparel and Leather Products",,N/A,187981.1397,177397.8703,₹ Crore,Manufacturing,2012-13-Annual,10583.2694
2011-12,2012-13,Gross Value Added,Annual,Additional Revision,Manufacturing,Metal Products,,N/A,248914.628,238520.389,₹ Crore,Manufacturing,2012-13-Annual,10394.239
2011-12,2012-13,Gross Value Added,Annual,Additional Revision,Manufacturing,Machinery and Equipment,,N/A,356231.1348,345731.2471,₹ Crore,Manufacturing,2012-13-Annual,10499.8877
2011-12,2012-13,Gross Value Added,Annual,Additional Revision,Manufacturing,Other Manufactured Goods,,N/A,611482.8635,570684.0905,₹ Crore,Manufacturing,2012-13-Annual,40798.773
2011-12,2012-13,Gross Value Added,Annual,Additional Revision,Manufacturing,N/A,,N/A,1572836.897,1486873.259,₹ Crore,Manufacturing,2012-13-Annual,85963.638
2011-12,2012-13,Gross Value Added,Annual,Additional Revision,"Electricity, Gas, Water Supply & Other Utility Services",N/A,,N/A,215349.645,191635,₹ Crore,"Electricity, Gas, Water Supply & Other Utility Services",2012-13-Annual,23714.645
2011-12,2012-13,Gross Value Added,Annual,Additional Revision,Construction,N/A,,N/A,849364.897,780050.107,₹ Crore,Construction,2012-13-Annual,69314.79
2011-12,2012-13,Gross Value Added,Annual,Additional Revision,"Trade, Repair, Hotels and Restaurants",Trade & Repair Services,,N/A,954683.2072,888665,₹ Crore,"Trade, Repair, Hotels and Restaurants",2012-13-Annual,66018.2072
2011-12,2012-13,Gross Value Added,Annual,Additional Revision,"Trade, Repair, Hotels and Restaurants",Hotels & Restaurants,,N/A,99849.53291,92955,₹ Crore,"Trade, Repair, Hotels and Restaurants",2012-13-Annual,6894.53291
2011-12,2012-13,Gross Value Added,Annual,Additional Revision,"Trade, Repair, Hotels and Restaurants",N/A,,N/A,1054532.74,981620,₹ Crore,"Trade, Repair, Hotels and Restaurants",2012-13-Annual,72912.74
2011-12,2012-13,Gross Value Added,Annual,Additional Revision,"Transport, Storage, Communication & Services Related to Broadcasting",Railways,,N/A,72295.50752,69162,₹ Crore,"Transport, Storage, Communication & Services Related to Broadcasting",2012-13-Annual,3133.50752
2011-12,2012-13,Gross Value Added,Annual,Additional Revision,"Transport, Storage, Communication & Services Related to Broadcasting",Road Transport,,N/A,300651.691,282425,₹ Crore,"Transport, Storage, Communication & Services Related to Broadcasting",2012-13-Annual,18226.691
2011-12,2012-13,Gross Value Added,Annual,Additional Revision,"Transport, Storage, Communication & Services Related to Broadcasting",Water Transport,,N/A,7189.687037,7052,₹ Crore,"Transport, Storage, Communication & Services Related to Broadcasting",2012-13-Annual,137.687037
2011-12,2012-13,Gross Value Added,Annual,Additional Revision,"Transport, Storage, Communication & Services Related to Broadcasting",Air Transport,,N/A,8127.692461,4183,₹ Crore,"Transport, Storage, Communication & Services Related to Broadcasting",2012-13-Annual,3944.692461
2011-12,2012-13,Gross Value Added,Annual,Additional Revision,"Transport, Storage, Communication & Services Related to Broadcasting",Services Incidental to Transport,,N/A,72054.11324,66480,₹ Crore,"Transport, Storage, Communication & Services Related to Broadcasting",2012-13-Annual,5574.11324
2011-12,2012-13,Gross Value Added,Annual,Additional Revision,"Transport, Storage, Communication & Services Related to Broadcasting",Storage,,N/A,6165.165813,5716,₹ Crore,"Transport, Storage, Communication & Services Related to Broadcasting",2012-13-Annual,449.165813
2011-12,2012-13,Gross Value Added,Annual,Additional Revision,"Transport, Storage, Communication & Services Related to Broadcasting",Communication & Services Related to Broadcasting,,N/A,142969.1141,134505,₹ Crore,"Transport, Storage, Communication & Services Related to Broadcasting",2012-13-Annual,8464.1141
2011-12,2012-13,Gross Value Added,Annual,Additional Revision,"Transport, Storage, Communication & Services Related to Broadcasting",N/A,,N/A,609452.9712,569523,₹ Crore,"Transport, Storage, Communication & Services Related to Broadcasting",2012-13-Annual,39929.9712
2011-12,2012-13,Gross Value Added,Annual,Additional Revision,Financial Services,N/A,,N/A,536818.7596,529792,₹ Crore,Financial Services,2012-13-Annual,7026.7596
2011-12,2012-13,Gross Value Added,Annual,Additional Revision,"Real Estate, Ownership of Dwelling & Professional Services",N/A,,N/A,1239813.297,1150239.294,₹ Crore,"Real Estate, Ownership of Dwelling & Professional Services",2012-13-Annual,89574.003
2011-12,2012-13,Gross Value Added,Annual,Additional Revision,Public Administration and Defence,N/A,,N/A,546231.2234,501383.4651,₹ Crore,Public Administration and Defence,2012-13-Annual,44847.7583
2011-12,2012-13,Gross Value Added,Annual,Additional Revision,Other Services,N/A,,N/A,617343.163,568262.2319,₹ Crore,Other Services,2012-13-Annual,49080.9311
2011-12,2012-13,Gross Value Added,Annual,Additional Revision,Total Gross Value Added,N/A,,N/A,9202692.104,8546275.35,₹ Crore,Total Gross Value Added,2012-13-Annual,656416.754
